ino,cno,score_2015,score_2016
1,106,,2150
1,107,,2040
1,110,,1570
1,111,,1810
1,112,,2400
1,113,,2400
1,116,,2190
1,117,,2380
1,118,,1570
1,119,,2060
1,120,,2090
1,121,,2280
1,124,,2250
1,125,,1910
1,126,,1880
1,130,,2360
1,131,,2370
1,132,,2210
1,133,,2370
1,134,,2000
1,135,,2190
1,136,,2280
1,137,,2390
1,143,,1760
1,144,,1590
1,147,,2310
1,148,,2350
2,114,,1590
2,115,,1640
2,117,,1640
2,137,,1610
3,109,,1780
4,116,1580,1600
4,117,1580,1910
4,130,1470,2060
4,131,1470,2360
5,113,2160,2290
5,123,2220,2060
5,138,1890,2000
6,114,,2380
6,115,,2400
6,116,,1700
6,117,,2190
7,104,1620,2090
7,109,1790,2050
7,110,1530,1620
7,111,1530,1480
7,114,1950,2140
7,115,1950,2230
7,116,1530,1700
7,117,1530,1970
7,119,1670,1890
7,136,1530,1680
7,137,,2130
8,104,1520,1970
8,109,1630,1560
8,110,1630,1500
8,114,1710,1870
8,115,1710,1980
8,116,1600,1580
8,117,1600,1540
8,119,1620,1740
8,136,1520,1500
8,137,1520,1830
9,107,,1560
9,108,1610,1570
9,109,1610,1750
9,111,1500,1750
9,114,2090,2050
9,115,2090,2320
9,116,1700,1500
9,117,1700,1880
9,119,1450,1560
9,130,1450,1760
9,131,1540,1950
9,136,1810,1740
9,137,1810,2110
10,115,,1840
10,137,,1550
11,103,1970,1920
11,104,1970,2100
11,107,1980,1930
11,108,2040,1790
11,109,2040,2150
11,110,1980,1650
11,111,1980,2040
11,114,2260,2320
11,115,2260,2400
11,116,2160,2130
11,117,2160,2290
11,120,2070,1860
11,121,2070,2250
11,124,1810,1770
11,125,1810,2040
11,136,2240,2110
11,137,2240,2360
11,145,1750,1770
11,146,1750,2000
12,114,2000,1950
12,115,2000,2000
12,116,1650,1780
12,117,1650,1780
12,120,1740,1860
12,121,1740,2070
13,106,1820,
13,114,1500,1510
13,115,1500,1950
13,119,,1710
13,136,1490,1700
13,137,1490,1680
14,114,1810,1660
14,115,1810,1930
14,116,,1980
14,117,,1890
14,121,1730,1800
15,103,1710,
15,136,1600,
15,115,1500,1850
16,108,2180,1990
16,109,2180,2260
16,110,1920,1510
16,111,1920,2060
16,112,2400,2400
16,113,2400,2400
16,116,2340,2310
16,117,2340,2390
16,120,2260,2160
16,121,2260,2340
16,130,2210,2300
16,131,2210,2380
16,136,2340,2290
16,137,2340,2400
16,141,1720,1470
17,115,,1510
17,137,1730,1590
18,114,1780,1490
18,115,1780,1860
18,117,1670,1690
18,121,1800,1610
18,136,1970,1510
18,137,1970,1710
19,107,1670,1730
19,115,,1650
20,114,1470,1850
20,115,1470,1960
20,117,1460,1730
20,121,,1770
20,137,1470,1800
21,110,1570,
21,111,1570,
21,112,1440,1730
21,113,1440,2060
21,117,,1700
21,119,,1470
21,130,1730,1490
21,131,1730,1840
21,137,1460,1900
22,107,1550,1970
22,108,1720,1910
22,114,1660,1720
22,115,1660,1990
22,117,1490,1720
22,119,,1680
22,122,,1580
22,136,1590,1550
22,137,1590,1710
23,115,,1830
24,115,1880,1950
24,136,,1960
24,137,,1590
25,108,2180,2130
25,109,2180,2270
25,110,1840,1520
25,111,1840,2130
25,114,2370,2400
25,115,2370,2400
25,116,2280,2350
25,117,2280,2400
25,120,2200,2250
25,121,2200,2340
25,128,2080,2010
25,129,2080,2250
25,136,2310,2300
25,137,2310,2400
25,139,1500,1570
25,140,1500,1760
25,145,1700,1800
25,146,1700,2080
26,106,2130,1660
26,107,2130,2180
26,108,2030,1850
26,109,2030,2170
26,110,1760,1560
26,111,1760,1790
26,114,2310,2390
26,115,2310,2400
26,116,2180,2230
26,117,2180,2340
26,120,2050,1970
26,121,2050,2210
26,136,2160,2150
26,137,2160,2340
27,112,,2350
27,113,,2400
27,116,,1990
27,117,,2320
28,109,,1530
28,112,,1790
28,113,,1930
28,119,,1600
28,127,,1630
28,137,,1640
28,142,,1460
29,101,2040,1710
29,102,2040,2150
29,114,2010,1840
29,115,2010,2150
29,117,1630,1690
29,119,1540,1690
29,136,1630,1560
29,140,1510,
29,137,1630,1960
30,108,1510,1600
30,109,1510,2030
30,110,1450,1450
30,111,1450,1470
30,112,1900,2120
30,113,1900,2250
30,116,1600,1600
30,117,1600,1980
30,118,1570,1600
30,119,1570,1910
30,136,1750,1720
30,137,1750,2130
31,103,1490,1860
31,104,1490,1500
32,103,1690,2010
32,104,1960,2250
32,105,1690,
33,103,1730,2010
33,104,1730,1500
33,105,,1550
34,106,,1910
34,115,,1880
34,137,,1710
35,103,1460,1610
35,104,1460,2050
35,108,1770,1590
35,109,1770,2050
35,110,1600,1610
35,111,1600,1710
35,114,2040,2230
35,115,2040,2360
35,116,1900,1820
35,117,1900,2030
35,120,1630,1610
35,121,1630,2060
35,136,2000,1980
35,137,2000,2090
